ὁ	ὁ, ἡ, τό	the 
ἐφικνέομαι	ἐφικνέομαι	to reach
ἐφοράω	ἐφοράω	to gaze upon
ζεῦγος	ζεῦγος, -ους, τό	a yoke, team, pair
ζεύς	Ζεύς	Zeus
ζέω	ζέω	to be fervent, to be hot
ζωγρέω	ζωγρέω	to capture alive
ἡγεμονεύω	ἡγεμονεύω	to be governor, rule
ἡδύοσμον	ἡδύοσμον, -ου, τό	mint
ἧλος	ἧλος, -ου, ὁ	a nail
ἡνίκα	ἡνίκα	when, at which time
ἡσύχιος	ἡσύχιος, -ον	quiet, tranquil
ἡττάω	ἡττάομαι	to be overcome or defeated
ἥττημα	ἥττημα, -τος, τό	loss, failure, defeat
θαδδαῖος	Θαδδαῖος, -ου, ὁ	Thaddaeus
θάλπω	θάλπω	to cherish, comfort
θαῦμα	θαῦμα, -τος, τό	a wonder, amazement
θεόφιλος	Θεόφιλος, -ου, ὁ	Theophilus
θεριστής	θεριστής, -οῦ, ὁ	a reaper, harvester
θριαμβεύω	θριαμβεύω	to lead in a triumphal procession, to triumph over
θυγάτριον	θυγάτριον, -ου, τό	little daughter
θυρίς	θυρίς, -ίδος, ἡ	a window
ἰάϊρος	Ἰάϊρος, -ου, ὁ	Jairus
ἱερατεία	ἱερατεία, -ας, ἡ	priestly office, priesthood
ἱεράτευμα	ἱεράτευμα, -τος, τό	priesthood
ἱερός	ἱερός, -ά, -όν	holy, sacred
ἱεροσολυμίτης	Ἱεροσολυμίτης, -ου, ὁ	an inhabitant of Jerusalem
ἰεχονίας	Ἰεχονίας, -ου, ὁ	Jechoniah
ἱκανόω	ἱκανόω	to make sufficient, qualify
ἱλάσκομαι	ἱλάσκομαι	to propitiate, expiate
ἱλασμός	ἱλασμός, -οῦ, ὁ	expiation, propitiation, sin-offering
ἱλαστήριον	ἱλαστήριος	means of expiation, place of propitiation
ἵλεως	ἵλεως, -ων	gracious, merciful
ἱματίζω	ἱματίζω	to dress, clothe
ἰουδαϊσμός	Ἰουδαϊσμός, -οῦ, ὁ	Judaism
ἰούλιος	Ἰούλιος, -ου, ὁ	Julius
ἱππεύς	ἱππεύς, -έως, ὁ	a horseman, cavalryman
ἶρις	ἶρις, -ιδος, ἡ	a rainbow
ἰχθύδιον	ἰχθύδιον, -ου, τό	a small fish
ἰωαθάμ	Ἰωαθάμ, ὁ	Jotham
ἰωάννα	Ἰωάννα, -ας, ἡ	Joanna
ἰωράμ	Ἰωράμ, ὁ	Joram
ἰωσαφάτ	Ἰωσαφάτ, ὁ	Josaphat
ἰωσίας	Ἰωσίας, -ου, ὁ	Josiah
καθηγητής	καθηγητής, -οῦ, ὁ	a teacher, leader
καθήκω	καθήκω	to be proper or fitting
καϊνάμ	Καϊνάμ, ὁ	Cainan
καινότης	καινότης, -ητος, ἡ	newness
καίτοι	καίτοι	yet, although
κακουχέω	κακουχέομαι	to maltreat, torment
καμμύω	καμμύω	to close (the eyes)
κάμνω	κάμνω	to be weary, ill
καναναῖος	Καναναῖος, -ου, ὁ	a Cananean
καππαδοκία	Καππαδοκία, -ας, ἡ	Cappadocia
καρδιογνώστης	καρδιογνώστης, -ου, ὁ	a knower of hearts
καταβάλλω	καταβάλλω	to strike down, found, lay (a foundation)
καταδουλόω	καταδουλόω	to enslave
καταδυναστεύω	καταδυναστεύω	to oppress
κατακλάω	κατακλάω	to break in pieces
κατακλείω	κατακλείω	to shut up, lock up
κατακολουθέω	κατακολουθέω	to follow after
κατάκρισις	κατάκρισις, -εως, ἡ	condemnation
καταλαλιά	καταλαλιά, -ᾶς, ἡ	evil speech, slander
καταπονέω	καταπονέω	to wear down, oppress
καταποντίζω	καταποντίζομαι	to drown, sink
κατασκάπτω	κατασκάπτω	to tear down, demolish
κατασκήνωσις	κατασκήνωσις, -εως, ἡ	a place to live, nest
καταστέλλω	καταστέλλω	to restrain, quiet
καταστρέφω	καταστρέφω	to overturn , destroy, ruin
καταστροφή	καταστροφή, -ῆς, ἡ	ruin, destruction
κατάσχεσις	κατάσχεσις, -εως, ἡ	possession, a holding fast
κατατίθημι	κατατίθημι	to lay (down), place
καταφεύγω	καταφεύγω	to flee , take refuge
καταχέω	καταχέω	to pour out, down, over
καταχράομαι	καταχράομαι	to make full use of
κατεξουσιάζω	κατεξουσιάζω	to exercise authority over
κατοικητήριον	κατοικητήριον, -ου, τό	dwelling, dwelling-place
καῦμα	καῦμα, -τος, τό	burning, heat
καυσόω	καυσόομαι	to burn with great heat
κεγχρεαί	Κεγχρεαί, -ῶν, ἡ	Cenchreae
κενοφωνία	κενοφωνία, -ας, ἡ	chatter, empty talk
κεραία	κεραία, -ας, ἡ	a projection, hook, stroke
κεράμιον	κεράμιον, -ου, τό	an earthen vessel, jar
κεφάλαιον	κεφάλαιον, -ου, τό	main thing, main point, sum of money
κιθαρίζω	κιθαρίζω	to play the lyre, harp
κιθαρῳδός	κιθαρῳδός, -οῦ, ὁ	a lyre-player, harpist
κλάσις	κλάσις, -εως, ἡ	breaking, fracturing
κλίβανος	κλίβανος, -ου, ὁ	an oven, furnace
κλινίδιον	κλινίδιον, -ου, τό	a small bed, cot
κλοπή	κλοπή, -ῆς, ἡ	a theft
κλύδων	κλύδων, -ωνος, ὁ	rough water, a wave
κοδράντης	κοδράντης, -ου, ὁ	a quadrans (penny)
κολάζω	κολάζω	to penalize, punish
κόλασις	κόλασις, -εως, ἡ	punishment
κομάω	κομάω	to have long hair
κονιάω	κονιάω	to whitewash
κορέννυμι	κορέννυμι	to satiate, fill
κορίνθιος	Κορίνθιος, -ου, ὁ	a Corinthian
κοσμικός	κοσμικός, -ή, -όν	earthly, worldly
κόσμιος	κόσμιος, -ον	respectable, appropriate
κρέας	κρέας, -κρέατος	meat
κρής	Κρής, -ητός, ὁ	a Cretan
κρίθινος	κρίθινος, -η, -ον	made of barley flour
κρίνον	κρίνον, -ου, τό	a lily
κρίσπος	Κρίσπος, -ου, ὁ	Crispus
κρύσταλλος	κρύσταλλος, -ου, ὁ	a rock-crystal
κρυφαῖος	κρυφαῖος, -α, -ον	hidden, private
κυβερνήτης	κυβερνήτης, -ου, ὁ	a shipmaster, pilot
κύπτω	κύπτω	to bend (oneself) down, stoop
κυρία	κυρία, -ας, ἡ	lady, mistress
κυριακός	κυριακός, -ή, -όν	the Lord's
κυρόω	κυρόω	to confirm, ratify, validate
λατομέω	λατομέω	to hew out of a rock
λεμα	λεμα	why?
λέντιον	λέντιον, -ου, τό	linen cloth, towel
λευκαίνω	λευκαίνω	to make white
λίβανος	λίβανος, -ου, ὁ	(the) Lebanon
λιβανωτός	λιβανωτός, -οῦ, ὁ	incense, censer
λικμάω	λικμάω	to crush, scatter
λίνον	λίνον, -ου, τό	a lamp-wick, linen garment
λίτρα	λίτρα, -ας, ἡ	a (Roman) pound
λογεία	λογεία, -ας, ἡ	a collection
λογικός	λογικός, -ή, -όν	thoughtful, reasonable
λογισμός	λογισμός, -οῦ, ὁ	reasoning, reflection, thought
λοίδορος	λοίδορος, -ου, ὁ	a reviler, abusive person
λοιμός	λοιμός, -οῦ, ὁ	pestilence, plague
λούκιος	Λούκιος, -ου, ὁ	Lucius
λουτρόν	λουτρόν, -οῦ, τό	a bath, washing
λυδία	Λυδία, -ας, ἡ	Lydia
λυσίας	Λυσίας, -ου, ὁ	Lysias
λύτρον	λύτρον, -ου, τό	the price of release, ransom
μαθθάτ	Μαθθάτ	Matthat
μαθθίας	Μαθθίας, -ου, ὁ	Matthias
μακαρίζω	μακαρίζω	to consider blessed, happy
μάτην	μάτην	in vain, to no end
ματθάν	Ματθάν, ὁ	Matthan
ματταθίας	Ματταθίας, -ου, ὁ	Mattathias
μεθοδεία	μεθοδεία, -ας, ἡ	scheming, craftiness
μέθυσος	μέθυσος, -ου, ὁ	a drunkard
μελετάω	μελετάω	to take care, take pains with
μελχί	Μελχί, ὁ	Melchi
μέμφομαι	μέμφομαι	to find fault with, blame
μερισμός	μερισμός, -οῦ, ὁ	a division, distribution
μεσημβρία	μεσημβρία, -ας, ἡ	midday, noon, the south
μεσοποταμία	Μεσοποταμία, -ας, ἡ	Mesopotamia
μεσσίας	Μεσσίας, -ου, ὁ	the Messiah, Anointed One
μετάγω	μετάγω	to guide, direct
μεταίρω	μεταίρω	to go away, depart
μεταλλάσσω	μεταλλάσσω	to exchange
μεταστρέφω	μεταστρέφω	to change, turn (about), distort 
μετοικίζω	μετοικίζω	to remove to another place of habitation, resettle
μηδαμῶς	μηδαμῶς	by no means, no
μήπω	μήπω	not yet
μήτρα	μήτρα, -ας, ἡ	the womb
μίσθιος	μίσθιος, -ου, ὁ	day laborer, hired servant
μισθόω	μισθόω	to hire
μιχαήλ	Μιχαήλ, ὁ	Michael
μονή	μονή, -ῆς, ἡ	a dwelling-place, abode, room
μονόφθαλμος	μονόφθαλμος, -ον	one-eyed
μόρφωσις	μόρφωσις, -εως, ἡ	embodiment, form
μυσία	Μυσία, -ας, ἡ	Mysia
μωμάομαι	μωμάομαι	to find fault with, criticize, blame
νάρδος	νάρδος, -ου, ἡ	spikenard, oil of nard
ναυαγέω	ναυαγέω	to suffer shipwreck
ναύτης	ναύτης, -ου, ὁ	a sailor
νέκρωσις	νέκρωσις, -εως, ἡ	death, putting to death
νεύω	νεύω	to nod, beckon (as a sign)
νήθω	νήθω	to spin
νῆστις	νῆστις, -ιδος	not eating, hungry
νικολαΐτης	Νικολαΐτης, -ου, ὁ	Nicolaitan
νομή	νομή, -ῆς, ἡ	a pasture, spreading
νομίμως	νομίμως	rightly, lawfully
νομοθετέω	νομοθετέομαι	to legislate, make law
νυστάζω	νυστάζω	to become drowsy, doze
νωθρός	νωθρός, -ά, -όν	lazy, sluggish, dull
ξενία	ξενία, -ας, ἡ	hospitality, a lodging place
ξύλινος	ξύλινος, -η, -ον	wooden
ὀγδοήκοντα	ὀγδοήκοντα	eighty
ὁδοιπορία	ὁδοιπορία, -ας, ἡ	a walking, journey
ὀδύνη	ὀδύνη, -ης, ἡ	pain, grief , sorrow
ὀδυρμός	ὀδυρμός, -οῦ, ὁ	lamentation, mourning
ὀζίας	Ὀζίας, -ου, ὁ	Uzziah
ὀθόνη	ὀθόνη, -ης, ἡ	linen cloth, sheet
οἰκητήριον	οἰκητήριον, -ου, τό	dwelling, habitation, abode
οἰκιακός	οἰκιακός, -οῦ, ὁ	member of a household
οἰκτίρω	οἰκτίρω	to have compassion
οἰνοπότης	οἰνοπότης, -ου, ὁ	a drunkard
ὁλόκληρος	ὁλόκληρος, -ον	whole, complete
ὄμμα	ὄμμα, -τος, τό	an eye
ὁμοιοπαθής	ὁμοιοπαθής, -ές	with the same nature
ὁμοιότης	ὁμοιότης, -ητος, ἡ	likeness, similarity
ὀνήσιμος	Ὀνήσιμος, -ου, ὁ	Onesimus
ὀνησίφορος	Ὀνησίφορος, -ου, ὁ	Onesiphorus
ὀνικός	ὀνικός, -ή, -όν	of or for an ass
ὀπή	ὀπή, -ῆς, ἡ	opening, hole
ὀργυιά	ὀργυιά, -ᾶς, ἡ	a fathom
ὀρεινός	ὀρεινός	hill country
ὀρθός	ὀρθός, -ή, -όν	straight, upright
ὁρκίζω	ὁρκίζω	to adjure, implore
ὁρμή	ὁρμή, -ῆς, ἡ	impulse, inclination, attempt
ὄρνις	ὄρνις, -ιθος, ἡ	a hen
ὀρφανός	ὀρφανός, -ή, -όν	an orphan
ὁσιότης	ὁσιότης, -ητος, ἡ	piety, holiness
ὀστράκινος	ὀστράκινος, -η, -ον	made of earth or clay
οὐρανόθεν	οὐρανόθεν	from heaven
οὐσία	οὐσία, -ας, ἡ	property, estate
ὀφείλημα	ὀφείλημα, -τος, τό	debt, that which is owed
ὀφθαλμοδουλία	ὀφθαλμοδουλία, -ας, ἡ	eyeservice, external service
πάγος	Πάγος	Areopagus (Hill of Mars)
παιδευτής	παιδευτής, -οῦ, ὁ	instructor, one who disciplines
παλιγγενεσία	παλιγγενεσία, -ας, ἡ	renewal, rebirth, regeneration
παντελής	παντελής, -ές	completely., forever
παραβιάζομαι	παραβιάζομαι	to urge strongly, prevail upon
παραινέω	παραινέω	to recommend, urge
παράκειμαι	παράκειμαι	to be present, at hand
παραλέγομαι	παραλέγομαι	to coast or sail along, to sail past
παραλογίζομαι	παραλογίζομαι	to deceive, delude
παραπικρασμός	παραπικρασμός, -οῦ, ὁ	a rebellion, provocation
παρεισέρχομαι	παρεισέρχομαι	to slip in, come in
παρίημι	παρίημι	to neglect, weaken
παροικέω	παροικέω	to live a stranger
παροικία	παροικία, -ας, ἡ	a sojourn, stay
πάροινος	πάροινος, -ου, ὁ	addicted to wine, drunken
παροξύνω	παροξύνομαι	to provoke, stimulate
παροξυσμός	παροξυσμός, -οῦ, ὁ	stimulation, provocation
παροργίζω	παροργίζω	to provoke to anger
πάφος	Πάφος, -ου, ἡ	Paphos
παχύνω	παχύνομαι	to become dull or insensitive, to fatten
πεζῇ	πεζῇ	by land
πεῖρα	πεῖρα, -ας, ἡ	attempt, trial, experience
πέλαγος	πέλαγος, -ους, τό	the open sea, the depths (of the sea)
πεντακόσιοι	πεντακόσιοι, -αι, -α	five hundred
περιαστράπτω	περιαστράπτω	to shine around, flash around
περιβόλαιον	περιβόλαιον, -ου, τό	covering, cloak
περίεργος	περίεργος, -ου, ὁ	meddlesome, belonging to magic
περιέχω	περιέχω	to surround, seize, contain
περικεφαλαία	περικεφαλαία, -ας, ἡ	a helmet
περιλάμπω	περιλάμπω	to shine around
περιλείπομαι	περιλείπομαι	to remain, be left behind
πέρυσι	πέρυσι	last year
πηδάλιον	πηδάλιον, -ου, τό	a rudder
πηλίκος	πηλίκος, -η, -ον	how large , how great
πικρός	πικρός, -ά, -όν	bitter
πικρῶς	πικρῶς	bitterly
πιστικός	πιστικός, -ή, -όν	genuine, pure
πλάσσω	πλάσσω	to form, mold, create
πλήκτης	πλήκτης, -ου, ὁ	a pugnacious person, bully
πνευματικῶς	πνευματικῶς	spiritually, in a spiritual manner
πνοή	πνοή, -ῆς, ἡ	wind, breath
ποίημα	ποίημα, -τος, τό	work, creation
πολιτάρχης	πολιτάρχης, -ου, ὁ	a city official
πολιτεία	πολιτεία, -ας, ἡ	citizenship
πολιτεύομαι	πολιτεύομαι	to live one's life, live as a citizen
πόμα	πόμα, -τος, τό	a drink
πόντος	πόντος, -ου, ὁ	Pontus
πόπλιος	Πόπλιος, -ου, ὁ	Publius
πορεία	πορεία, -ας, ἡ	a journey, way, pursuit
πορισμός	πορισμός, -οῦ, ὁ	means of gain
πόρρωθεν	πόρρωθεν	from a distance, at a distance
πράκτωρ	πράκτωρ, -ορος, ὁ	bailiff, constable
πρασιά	πρασιά, -ᾶς, ἡ	a group
πρεσβεία	πρεσβεία, -ας, ἡ	an ambassador
πρεσβεύω	πρεσβεύω	to be an ambassador
προαμαρτάνω	προαμαρτάνω	to sin beforehand
